Country,Year,Month,Calendar Day,Types Of Fuel,Type Of Category,"Monitored Capacity  (UOM:MW(MegaWatt)), Scaling Factor:1","Targeted Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1","Actual Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-04,Hydro,Hydro,46850.170000000030,520.6800000000000000,363.1400000000000000
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-03,Coal,Thermal,205235.500000000000,3596.3099999999986000,3636.7000000000000000
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-03,Nuclear,Nuclear,6780.0000000000000000,105.7400000000000100,111.5200000000000100
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-03,Hydro,Hydro,46850.170000000030,520.6800000000000000,413.6899999999999000
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-02,Coal,Thermal,205235.500000000000,3596.3099999999986000,3486.5800000000004000
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-02,Nuclear,Nuclear,6780.0000000000000000,105.7400000000000100,111.4500000000000000
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-02,Hydro,Hydro,46850.170000000030,520.6800000000000000,418.8300000000001500
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-01,Coal,Thermal,205235.500000000000,3597.9399999999987000,3416.4500000000035000
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-01,Nuclear,Nuclear,6780.0000000000000000,105.7400000000000100,109.4199999999999900
India,"Calendar Year (Jan - Dec), 2023","June, 2023",2023-06-01,Hydro,Hydro,46850.170000000030,520.6800000000000000,402.4399999999999400
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-31,Coal,Thermal,205235.500000000000,3679.3500000000000000,3487.5899999999997000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-31,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,109.8100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-31,Hydro,Hydro,46850.170000000030,439.9199999999999000,403.5600000000002300
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-30,Coal,Thermal,205235.500000000000,3679.3500000000000000,3566.7000000000003000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-30,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,110.5899999999999700
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-30,Hydro,Hydro,46850.170000000030,439.9199999999999000,392.3099999999999500
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-29,Coal,Thermal,205235.500000000000,3659.3100000000004000,3480.6000000000045000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-29,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,112.5000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-29,Hydro,Hydro,46850.170000000030,439.9199999999999000,418.3000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-28,Coal,Thermal,205235.500000000000,3659.3100000000004000,3263.9800000000027000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-28,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,112.0700000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-28,Hydro,Hydro,46850.170000000030,439.9199999999999000,405.4699999999998600
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-27,Coal,Thermal,205235.500000000000,3659.3100000000004000,3129.9700000000003000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-27,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,112.3399999999999900
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-27,Hydro,Hydro,46850.170000000030,439.9199999999999000,432.1800000000000600
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-26,Coal,Thermal,205235.500000000000,3670.2300000000005000,3048.1899999999960000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-26,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,112.0700000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-26,Hydro,Hydro,46850.170000000030,439.9199999999999000,429.1600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-25,Coal,Thermal,205235.500000000000,3670.2300000000005000,3250.6400000000003000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-25,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,111.8400000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-25,Hydro,Hydro,46850.170000000030,439.9199999999999000,402.2599999999999000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-24,Coal,Thermal,205235.500000000000,3670.2300000000005000,3438.1800000000003000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-24,Nuclear,Nuclear,6780.0000000000000000,100.3999999999999800,111.5600000000000200
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-24,Hydro,Hydro,46850.170000000030,439.9199999999999000,424.7099999999997000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-23,Coal,Thermal,205235.500000000000,3670.2300000000000000,3738.3400000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-23,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,111.3900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-23,Hydro,Hydro,46850.170000000000,439.9200000000000000,424.5100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-22,Coal,Thermal,205235.500000000000,3670.2300000000000000,3704.3600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-22,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,111.7500000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-22,Hydro,Hydro,46850.170000000000,439.9200000000000000,398.7000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-21,Coal,Thermal,205235.500000000000,3670.2300000000000000,3637.3300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-21,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,110.4300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-21,Hydro,Hydro,46850.170000000000,439.9200000000000000,393.8300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-20,Coal,Thermal,205235.500000000000,3670.2300000000000000,3744.7900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-20,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,107.1300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-20,Hydro,Hydro,46850.170000000000,439.9200000000000000,402.7200000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-19,Coal,Thermal,205235.500000000000,3680.5200000000000000,3788.9500000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-19,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,107.2600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-19,Hydro,Hydro,46850.170000000000,439.9200000000000000,391.4500000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-18,Coal,Thermal,205235.500000000000,3680.5200000000000000,3580.4100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-18,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,106.5400000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-18,Hydro,Hydro,46850.170000000000,439.9200000000000000,398.1400000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-17,Coal,Thermal,205235.500000000000,3680.5200000000000000,3743.1100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-17,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,111.2500000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-17,Hydro,Hydro,46850.170000000000,439.9200000000000000,384.6100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-16,Coal,Thermal,205235.500000000000,3680.5200000000000000,3614.2900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-16,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,114.3100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-16,Hydro,Hydro,46850.170000000000,439.9200000000000000,363.9100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-15,Coal,Thermal,205235.500000000000,3701.3200000000000000,3454.6300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-15,Nuclear,Nuclear,6780.0000000000000000,100.4000000000000000,115.7000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-15,Hydro,Hydro,46850.170000000000,439.9200000000000000,349.8600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-14,Coal,Thermal,205235.500000000000,3711.0700000000000000,3368.2300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-14,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,115.2600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-14,Hydro,Hydro,46850.170000000000,439.9200000000000000,322.3800000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-13,Coal,Thermal,205235.500000000000,3711.0700000000000000,3586.8900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-13,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,113.0200000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-13,Hydro,Hydro,46850.170000000000,439.9200000000000000,331.6000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-12,Coal,Thermal,205235.500000000000,3711.0700000000000000,3624.8900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-12,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,112.9800000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-12,Hydro,Hydro,46850.170000000000,439.9200000000000000,323.1600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-11,Coal,Thermal,205235.500000000000,3711.0700000000000000,3642.8100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-11,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,112.9900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-11,Hydro,Hydro,46850.170000000000,439.9200000000000000,323.7900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-10,Coal,Thermal,205235.500000000000,3711.0700000000000000,3612.6700000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-10,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,109.9600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-10,Hydro,Hydro,46850.170000000000,439.9200000000000000,320.6800000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-09,Coal,Thermal,205235.500000000000,3711.0700000000000000,3538.0500000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-09,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,102.7000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-09,Hydro,Hydro,46850.170000000000,439.9200000000000000,348.1000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-08,Coal,Thermal,205235.500000000000,3711.0700000000000000,3392.7800000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-08,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,103.6900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-08,Hydro,Hydro,46850.170000000000,439.9200000000000000,344.4500000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-07,Coal,Thermal,205235.500000000000,3711.0700000000000000,3188.9100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-07,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,108.5900000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-07,Hydro,Hydro,46850.170000000000,439.9200000000000000,330.3400000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-06,Coal,Thermal,205235.500000000000,3711.0700000000000000,3276.8300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-06,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,121.8100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-06,Hydro,Hydro,46850.170000000000,439.9200000000000000,345.9400000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-05,Coal,Thermal,205235.500000000000,3711.0700000000000000,3206.8700000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-05,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,109.1400000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-05,Hydro,Hydro,46850.170000000000,439.9200000000000000,366.7600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-04,Coal,Thermal,205235.500000000000,3711.0700000000000000,3066.1300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-04,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,112.8800000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-04,Hydro,Hydro,46850.170000000000,439.9200000000000000,356.0600000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-03,Coal,Thermal,205235.500000000000,3711.0700000000000000,3016.0300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-03,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,115.4700000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-03,Hydro,Hydro,46850.170000000000,439.9200000000000000,342.5700000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-02,Coal,Thermal,205235.500000000000,3711.0700000000000000,2915.2100000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-02,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,118.3700000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-02,Hydro,Hydro,46850.170000000000,439.9200000000000000,331.8500000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-01,Coal,Thermal,205235.500000000000,3702.9700000000000000,2857.9300000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-01,Nuclear,Nuclear,6780.0000000000000000,105.1900000000000000,114.3000000000000000
India,"Calendar Year (Jan - Dec), 2023","May, 2023",2023-05-01,Hydro,Hydro,46850.170000000000,439.9200000000000000,297.9900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-30,Coal,Thermal,205235.500000000000,4043.5300000000000000,3135.2200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-30,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,115.2900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-30,Hydro,Hydro,46850.170000000000,355.6700000000000000,282.7200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-29,Coal,Thermal,205235.500000000000,4043.5300000000000000,3466.1700000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-29,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,120.0200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-29,Hydro,Hydro,46850.170000000000,355.6700000000000000,294.4600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-28,Coal,Thermal,205235.500000000000,4043.5300000000000000,3583.8000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-28,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,112.8400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-28,Hydro,Hydro,46850.170000000000,355.6700000000000000,307.7100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-27,Coal,Thermal,205235.500000000000,4043.5300000000000000,3623.9400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-27,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,99.6900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-27,Hydro,Hydro,46850.170000000000,355.6700000000000000,305.4400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-26,Coal,Thermal,205235.500000000000,4043.5300000000000000,3596.3600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-26,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,97.9200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-26,Hydro,Hydro,46850.170000000000,355.6700000000000000,293.2100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-25,Coal,Thermal,205235.500000000000,4043.5300000000000000,3576.9700000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-25,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,97.8300000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-25,Hydro,Hydro,46850.170000000000,355.6700000000000000,282.9900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-24,Coal,Thermal,205235.500000000000,4043.5300000000000000,3467.3000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-24,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,98.2000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-24,Hydro,Hydro,46850.170000000000,355.6700000000000000,292.9400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-23,Coal,Thermal,205235.500000000000,4043.5300000000000000,3264.2400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-23,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,98.5800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-23,Hydro,Hydro,46850.170000000000,355.6700000000000000,273.4000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-22,Coal,Thermal,205235.500000000000,4043.5300000000000000,3557.3800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-22,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,98.3800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-22,Hydro,Hydro,46850.170000000000,355.6700000000000000,301.5600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-21,Coal,Thermal,205235.500000000000,4043.5300000000000000,3658.8800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-21,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,97.9100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-21,Hydro,Hydro,46850.170000000000,355.6700000000000000,351.4300000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-20,Coal,Thermal,205235.500000000000,4052.5800000000000000,3776.8000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-20,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,105.1000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-20,Hydro,Hydro,46850.170000000000,355.6700000000000000,372.0200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-19,Coal,Thermal,205235.500000000000,4052.5800000000000000,3812.0200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-19,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,122.6100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-19,Hydro,Hydro,46850.170000000000,355.6700000000000000,341.2500000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-18,Coal,Thermal,205235.500000000000,4052.5800000000000000,3879.2100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-18,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,121.1400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-18,Hydro,Hydro,46850.170000000000,355.6700000000000000,339.4200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-17,Coal,Thermal,205235.500000000000,4052.5800000000000000,3780.6400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-17,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,122.0400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-17,Hydro,Hydro,46850.170000000000,355.6700000000000000,329.7800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-16,Coal,Thermal,205235.500000000000,4052.5800000000000000,3651.1400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-16,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,120.7400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-16,Hydro,Hydro,46850.170000000000,355.6700000000000000,296.6600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-15,Coal,Thermal,205235.500000000000,4052.5800000000000000,3717.9000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-15,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,121.9000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-15,Hydro,Hydro,46850.170000000000,355.6700000000000000,306.0100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-14,Coal,Thermal,205235.500000000000,4052.5800000000000000,3762.6500000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-14,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,122.1500000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-14,Hydro,Hydro,46850.170000000000,355.6700000000000000,287.9800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-13,Coal,Thermal,205235.500000000000,4052.5800000000000000,3776.1800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-13,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,121.8100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-13,Hydro,Hydro,46850.170000000000,355.6700000000000000,302.9900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-12,Coal,Thermal,205235.500000000000,4052.5800000000000000,3717.8700000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-12,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,123.0900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-12,Hydro,Hydro,46850.170000000000,355.6700000000000000,285.0500000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-11,Coal,Thermal,205235.500000000000,4052.5800000000000000,3695.9900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-11,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,123.3200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-11,Hydro,Hydro,46850.170000000000,355.6700000000000000,285.1600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-10,Coal,Thermal,204435.500000000000,4052.5800000000000000,3552.9700000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-10,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,122.5300000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-10,Hydro,Hydro,46850.170000000000,355.6700000000000000,258.9800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-09,Coal,Thermal,204435.500000000000,4052.5800000000000000,3381.3700000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-09,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,122.8300000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-09,Hydro,Hydro,46850.170000000000,355.6700000000000000,239.7600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-08,Coal,Thermal,204435.500000000000,4052.5800000000000000,3441.8600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-08,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,116.3900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-08,Hydro,Hydro,46850.170000000000,355.6700000000000000,246.8300000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-07,Coal,Thermal,204435.500000000000,4052.5800000000000000,3486.8900000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-07,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,123.3300000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-07,Hydro,Hydro,46850.170000000000,355.6700000000000000,254.6100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-06,Coal,Thermal,204435.500000000000,4052.5800000000000000,3432.6300000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-06,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,123.5800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-06,Hydro,Hydro,46850.170000000000,355.6700000000000000,275.3400000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-05,Coal,Thermal,204435.500000000000,4052.5800000000000000,3387.8600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-05,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,122.6000000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-05,Hydro,Hydro,46850.170000000000,355.6700000000000000,284.4700000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-04,Coal,Thermal,204435.500000000000,4052.5800000000000000,3345.0100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-04,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,123.1600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-04,Hydro,Hydro,46850.170000000000,355.6700000000000000,272.8500000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-03,Coal,Thermal,204435.500000000000,4052.5800000000000000,3205.3700000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-03,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,124.0100000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-03,Hydro,Hydro,46850.170000000000,355.6700000000000000,256.9200000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-02,Coal,Thermal,204435.500000000000,4052.5800000000000000,3036.4800000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-02,Nuclear,Nuclear,6780.0000000000000000,135.0700000000000000,125.3600000000000000
India,"Calendar Year (Jan - Dec), 2023","April, 2023",2023-04-02,Hydro,Hydro,46850.170000000000,355.6700000000000000,218.6200000000000000
