Country,Year,Month,Calendar Day,Types Of Fuel,Type Of Category,"Monitored Capacity  (UOM:MW(MegaWatt)), Scaling Factor:1","Targeted Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1","Actual Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-04,Nuclear,Nuclear,8780,127.38000000000002,143.03
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-04,Hydro,Hydro,50108.16000000005,455.44,679.3300000000006
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-03,Coal,Thermal,216786.01,3954.8500000000013,3039.2300000000005
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-03,Nuclear,Nuclear,8780,127.38000000000002,143.66
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-03,Hydro,Hydro,50108.16000000005,455.44,672.6800000000003
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-02,Coal,Thermal,216786.01,3954.8500000000013,2842.95
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-02,Nuclear,Nuclear,8780,127.38000000000002,144.36999999999998
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-02,Hydro,Hydro,50108.16000000005,455.44,640.3000000000008
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-01,Coal,Thermal,216786.01,3954.8500000000013,3067.480000000001
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-01,Nuclear,Nuclear,8780,147.38,143.79000000000002
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-01,Hydro,Hydro,50108.16000000005,455.44,658.7500000000001
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-30,Coal,Thermal,216786.01,3864.6299999999974,3344.3500000000017
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-30,Nuclear,Nuclear,8780,131.23999999999998,141.28
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-30,Hydro,Hydro,50108.16000000005,647.0999999999996,686.7799999999996
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-29,Coal,Thermal,216786.01,3856.299999999998,3352.6
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-29,Nuclear,Nuclear,8780,131.23999999999998,139.48999999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-29,Hydro,Hydro,50108.16000000005,647.0999999999996,685.4499999999994
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-28,Coal,Thermal,216786.01,3828.9699999999975,3161.710000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-28,Nuclear,Nuclear,8780,131.23999999999998,130.59
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-28,Hydro,Hydro,50108.16000000005,647.0999999999996,674.1200000000003
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-27,Coal,Thermal,216786.01,3828.9699999999975,3303.5199999999973
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-27,Nuclear,Nuclear,8780,131.23999999999998,133.10999999999999
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-27,Hydro,Hydro,50108.16000000005,647.0999999999996,681.9000000000007
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-26,Coal,Thermal,216786.01,3820.9699999999975,3456.1099999999983
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-26,Nuclear,Nuclear,8780,131.23999999999998,137.57999999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-26,Hydro,Hydro,50108.16000000005,647.0999999999996,716.0200000000007
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-25,Coal,Thermal,216786.01,3795.169999999998,3448.0500000000015
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-25,Nuclear,Nuclear,8780,131.23999999999998,138
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-25,Hydro,Hydro,50108.16000000005,647.0999999999996,715.4399999999999
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-24,Coal,Thermal,216786.01,3790.839999999998,3370.710000000001
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-24,Nuclear,Nuclear,8780,131.23999999999998,134.04
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-24,Hydro,Hydro,50108.16000000005,647.0999999999996,717.2800000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-23,Coal,Thermal,216786.01,3790.839999999998,3342.3900000000017
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-23,Nuclear,Nuclear,8780,110.94999999999999,135.14999999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-23,Hydro,Hydro,50108.16000000005,647.0999999999996,722.0399999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-22,Coal,Thermal,216786.01,3790.839999999998,3338.189999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-22,Nuclear,Nuclear,8780,110.94999999999999,139.10000000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-22,Hydro,Hydro,50108.16000000005,647.0999999999996,722.0999999999992
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-21,Coal,Thermal,216786.01,3793.429999999998,3293.6899999999987
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-21,Nuclear,Nuclear,8780,110.94999999999999,128.53
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-21,Hydro,Hydro,50108.16000000005,647.0999999999996,708.2000000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-20,Coal,Thermal,216786.01,3768.1299999999983,3361.460000000005
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-20,Nuclear,Nuclear,8780,110.94999999999999,122.44
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-20,Hydro,Hydro,50108.16000000005,647.0999999999996,747.3099999999988
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-19,Coal,Thermal,216786.01,3778.389999999998,3466.379999999997
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-19,Nuclear,Nuclear,8780,110.94999999999999,125.03
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-19,Hydro,Hydro,50108.16000000005,647.0999999999996,752.7900000000011
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-18,Coal,Thermal,216786.01,3778.389999999998,3422.6300000000015
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-18,Nuclear,Nuclear,8780,110.94999999999999,118.26000000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-18,Hydro,Hydro,50108.16000000005,647.0999999999996,763.6500000000015
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-17,Coal,Thermal,216786.01,3773.619999999998,3409.379999999999
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-17,Nuclear,Nuclear,8780,110.94999999999999,131.57
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-17,Hydro,Hydro,50108.16000000005,647.0999999999996,775.9900000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-16,Coal,Thermal,216786.01,3773.619999999998,3398.3899999999994
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-16,Nuclear,Nuclear,8780,110.94999999999999,143.77999999999997
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-16,Hydro,Hydro,50108.16000000005,647.0999999999996,768.5499999999988
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-15,Coal,Thermal,216786.01,3775.659999999998,3302.4600000000023
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-15,Nuclear,Nuclear,8780,110.94999999999999,144.37
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-15,Hydro,Hydro,50108.16000000005,647.0999999999996,770.7399999999994
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-14,Coal,Thermal,216786.01,3760.399999999998,3287.840000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-14,Nuclear,Nuclear,8780,125.80999999999999,144.56
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-14,Hydro,Hydro,50108.16000000005,647.0999999999996,745.5900000000005
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-13,Coal,Thermal,216786.01,3760.399999999998,3427.6
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-13,Nuclear,Nuclear,8780,125.80999999999999,144.51
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-13,Hydro,Hydro,50108.16000000005,647.0999999999996,757.4099999999995
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-12,Coal,Thermal,216786.01,3760.399999999998,3416.439999999999
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-12,Nuclear,Nuclear,8780,125.80999999999999,142.85
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-12,Hydro,Hydro,50108.16000000005,647.0999999999996,774.7900000000009
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-11,Coal,Thermal,216786.01,3760.399999999998,3392.880000000001
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-11,Nuclear,Nuclear,8780,125.80999999999999,137.82999999999996
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-11,Hydro,Hydro,50108.16000000005,647.0999999999996,750.3500000000008
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-10,Coal,Thermal,216786.01,3738.799999999998,3466.149999999997
